id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1164503995320065877,Stylish Private Room in Roxbury Co-Living APT,Roxbury,42.32767,-71.08916,Private room in rental unit,Private room,2,0.0,74.0,4292.0,357.6666666666667,58,2,0.14,3.5,2356643,f,13.375342465753425,39,295,Medium,-2.657726477843308
1164607570865561615,Convenient 2 br near Bus/Train,Dorchester,42.31695371700309,-71.05492891181542,Entire rental unit,Entire home/apt,5,3.0,196.0,49980.0,4165.0,255,66,4.53,4.62,579619676,f,1.3315068493150686,15,572,High,-1.66691184934146
1167125077761442714,"Blueground | Chinatown/Theater Dist, gym, nr bars",Downtown,42.3511858,-71.06401699999999,Entire rental unit,Entire home/apt,4,2.0,380.0,0.0,0.0,0,0,,,107434423,f,8.778082191780822,31,376,High,
1167128067512157867,"Blueground | Chinatown/Theater Dist, gym, nr food",Downtown,42.35119,-71.06402,Entire rental unit,Entire home/apt,4,2.0,416.0,0.0,0.0,0,0,,,107434423,f,8.778082191780822,31,376,High,
1167376221611564356,"Blueground | Chinatown, w/d, nr green line & bars",Downtown,42.35119,-71.06402,Entire rental unit,Entire home/apt,2,1.0,320.0,0.0,0.0,0,0,,,107434423,f,8.778082191780822,31,376,High,
1167376707233146839,"Blueground | Theater Dist, gym, nr entertainment",Downtown,42.35119,-71.06402,Entire rental unit,Entire home/apt,2,1.0,295.0,18880.0,1573.3333333333333,64,1,0.79,5.0,107434423,f,8.778082191780822,32,376,High,0.5038311690457642
1167393724616658570,One Bed in Seaport District With Amenities,South Boston Waterfront,42.35331,-71.04779,Entire rental unit,Entire home/apt,3,1.0,257.0,0.0,0.0,0,0,,,22541573,t,10.95068493150685,39,80,Low,
1167455136455978542,Modern Two Bedroom Apartment in Boston's Back Bay,Back Bay,42.34924992971563,-71.0822556529807,Entire rental unit,Entire home/apt,5,2.0,365.0,0.0,0.0,0,0,,,22541573,t,10.953424657534246,37,340,High,
1168419390178582161,[Fabulous Room with kitchen 5 min to Boston Coll ],Brighton,42.34677,-71.15688,Private room in home,Private room,2,0.0,74.0,6216.0,518.0,84,24,1.52,4.42,238548804,unknown,6.671232876712328,15,303,Medium,-2.156554470973739
1168848022411382766,Convenient Beacon Hill Rental by MGH & TD Garden#5,Beacon Hill,42.36045843844824,-71.06439709495504,Entire rental unit,Entire home/apt,2,1.0,180.0,45900.0,3825.0,255,67,4.19,4.52,22348222,f,10.967123287671233,28,230,Medium,-0.9631751316448569
1169512758474469869,2 bedroom Modern Condo w/Private Roof Top!,East Boston,42.38005642476696,-71.02840215066864,Entire rental unit,Entire home/apt,6,2.0,218.0,35316.0,2943.0,162,41,2.65,4.71,445030990,f,3.6082191780821917,40,229,Low,0.3775773852252643
1170863254755541072,Brand New 4BR 2.5Bath House 20Min  Downtown Boston,Dorchester,42.3010749,-71.08379359999999,Entire home,Entire home/apt,10,5.0,437.0,111435.0,9286.25,255,70,4.51,4.99,470187953,t,3.186301369863014,50,572,High,1.7927370774433342
1171368799931255911,"Comfortable, Centrally Located 3 Bed in Boston",Dorchester,42.29508188401479,-71.07113307301636,Entire rental unit,Entire home/apt,6,4.0,133.0,8778.0,731.5,66,13,1.05,4.54,388302612,f,4.616438356164384,41,572,High,0.03434715903111585
1171663241569889438,Stylish South End Studio with Private Kitchenette,South End,42.3406,-71.08001,Entire rental unit,Entire home/apt,2,1.0,195.0,19890.0,1657.5,102,28,1.79,4.86,409684302,f,4.243835616438356,37,291,Medium,0.52591134486961
1173874331267051092,Boston - Great Location-Apt 2nd floor - 8 people,Dorchester,42.32386352651769,-71.05600823801738,Entire rental unit,Entire home/apt,8,6.0,376.0,42864.0,3572.0,114,20,1.63,4.9,210929717,t,7.095890410958904,34,572,High,0.4049418626162019
1174555102044481288,"Spacious Home- Master Suite, Private Bath & Office",Roxbury,42.3115020854777,-71.08870089961098,Private room in home,Private room,2,1.0,86.0,15480.0,1290.0,180,30,2.62,4.9,7679039,t,12.178082191780822,48,295,Medium,1.4264658933222334
1175280357399292317,Modern Single Family Home minutes from Fort hill,Roxbury,42.31590552722961,-71.09311744775373,Entire home,Entire home/apt,6,3.0,299.0,34086.0,2840.5,114,23,1.78,5.0,167812787,t,7.695890410958904,39,295,Medium,1.01459318439878
1176243573614724214,"Expansive Back Bay Loft, Sleeps 4, 1B/1B",Back Bay,42.34965606123547,-71.0736636412829,Entire rental unit,Entire home/apt,4,2.0,233.0,1398.0,116.5,6,1,0.23,5.0,31340713,f,10.449315068493151,34,340,High,0.6497631734323402
1176304509644030677,Pet-Friendly Loft in Back Bay – Sleeps 4,Bay Village,42.34793,-71.07158,Entire rental unit,Entire home/apt,4,2.0,233.0,1398.0,116.5,6,2,0.15,4.5,266312920,f,6.3123287671232875,34,110,Low,-0.5743433806483558
